出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格歷史
12月21日 週六,下午5:40。,TPE,晚上7:35。,HKG,香港快運航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A320neo,UO 115,經濟艙,"08/21 - $2,718, 08/22 - $2,718, 08/23 - $2,718, 08/24 - $2,718, 08/25 - $2,718, 08/26 - $2,718, 08/27 - $2,718, 08/28 - $2,718, 08/29 - $2,718, 08/30 - $3,048, 08/31 - $3,048, 09/01 - $2,838, 09/02 - $2,838, 09/03 - $2,838, 09/04 - $2,178, 09/05 - $2,178, 09/06 - $2,178, 09/07 - $2,178, 09/08 - $2,178, 09/09 - $2,178, 09/10 - $2,178, 09/11 - $2,178, 09/12 - $2,178, 09/13 - $2,178, 09/14 - $2,178, 09/15 - $2,178, 09/16 - $2,178, 09/17 - $2,178, 09/18 - $2,178, 09/19 - $2,178, 09/20 - $2,178, 09/21 - $2,178, 09/22 - $2,178, 09/23 - $1,968, 09/24 - $1,968, 09/25 - $1,968, 09/26 - $1,968, 09/27 - $2,178, 09/28 - $2,178, 09/29 - $2,178, 09/30 - $2,178, 10/01 - $1,968, 10/02 - $1,968, 10/03 - $1,968, 10/04 - $1,968, 10/05 - $1,968, 10/06 - $1,968, 10/07 - $1,758, 10/08 - $1,758, 10/09 - $1,758, 10/10 - $1,758, 10/11 - $1,758, 10/12 - $1,758, 10/13 - $1,758, 10/14 - $1,758, 10/15 - $1,758, 10/16 - $1,758, 10/17 - $1,758, 10/18 - $1,758, 10/19 - $1,758, "
12月21日 週六,晚上9:20。,TPE,晚上11:20。,HKG,Greater Bay Airlines,直達航班。,Non-stop,未找到飛行時間,No,Boeing 737,HB 705,經濟艙,
12月21日 週六,上午11:55。,TPE,下午1:55。,HKG,香港航空,直達航班。,Non-stop,未找到飛行時間,No,Airbus A330,HX 253,經濟艙,"08/21 - $24,690, 08/22 - $24,688, 08/23 - $24,688, 08/24 - $24,690, 08/25 - $24,690, 08/26 - $24,690, 08/27 - $24,684, 08/28 - $24,683, 08/29 - $24,687, 08/30 - $24,690, 08/31 - $24,687, 09/01 - $24,687, 09/02 - $3,483, 09/03 - $24,692, 09/04 - $24,694, 09/05 - $24,696, 09/06 - $24,697, 09/07 - $24,694, 09/08 - $24,614, 09/09 - $24,614, 09/10 - $24,613, 09/11 - $24,615, 09/12 - $24,615, 09/13 - $24,617, 09/14 - $24,617, 09/15 - $24,617, 09/16 - $24,617, 09/17 - $24,610, 09/18 - $24,605, 09/19 - $24,607, 09/20 - $24,610, 09/21 - $24,610, 09/22 - $3,093, 09/23 - $3,093, 09/24 - $3,094, 09/25 - $3,095, 09/26 - $3,093, 09/27 - $3,092, 09/28 - $3,090, 09/29 - $3,090, 09/30 - $3,090, 10/01 - $3,085, 10/02 - $3,088, 10/03 - $3,091, 10/04 - $3,092, 10/05 - $3,095, 10/06 - $3,095, 10/07 - $3,095, 10/08 - $3,100, 10/09 - $3,098, 10/10 - $3,098, 10/11 - $3,099, 10/12 - $3,099, 10/13 - $3,099, 10/14 - $3,099, 10/15 - $3,097, 10/16 - $2,799, 10/17 - $2,799, 10/18 - $2,799, 10/19 - $2,798, "
12月21日 週六,上午8:05。,TPE,上午10:10。,HKG,星宇航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321neo,JX 233,經濟艙,"09/13 - $3,637, 09/14 - $3,637, 09/15 - $3,637, 09/16 - $3,637, 09/17 - $3,634, 09/18 - $3,632, 09/19 - $3,633, 09/20 - $3,634, 09/21 - $3,634, 09/22 - $3,543, 09/23 - $3,543, 09/24 - $3,543, 09/25 - $3,544, 09/26 - $3,542, 09/27 - $3,542, 09/28 - $3,540, 09/29 - $3,540, 09/30 - $3,540, 10/01 - $3,536, 10/02 - $3,552, 10/03 - $3,555, 10/04 - $3,556, 10/05 - $3,834, 10/06 - $3,834, 10/07 - $3,834, 10/08 - $3,839, 10/09 - $3,837, 10/10 - $3,837, 10/11 - $3,267, 10/12 - $3,267, 10/13 - $3,267, 10/14 - $3,267, 10/15 - $3,265, 10/16 - $3,266, 10/17 - $3,266, 10/18 - $3,266, 10/19 - $3,265, "
12月21日 週六,晚上9:10。,TPE,晚上11:10。,HKG,香港快運航空,直達航班。,Non-stop,未找到飛行時間,No,Airbus A321neo,UO 117,經濟艙,"08/21 - $2,638, 08/22 - $2,638, 08/23 - $2,638, 08/24 - $2,638, 08/25 - $2,638, 08/26 - $2,638, 08/27 - $2,638, 08/28 - $2,638, 08/29 - $2,638, 08/30 - $2,638, 08/31 - $2,638, 09/01 - $2,428, 09/02 - $2,428, 09/03 - $2,428, 09/04 - $2,428, 09/05 - $2,098, 09/06 - $2,098, 09/07 - $2,098, 09/08 - $2,098, 09/09 - $2,098, 09/10 - $2,098, 09/11 - $2,098, 09/12 - $2,098, 09/13 - $2,098, 09/14 - $2,098, 09/15 - $2,098, 09/16 - $2,098, 09/17 - $2,098, 09/18 - $2,098, 09/19 - $2,098, 09/20 - $2,098, 09/21 - $2,098, 09/22 - $2,098, 09/23 - $2,098, 09/24 - $2,098, 09/25 - $1,678, 09/26 - $1,888, 09/27 - $2,098, 09/28 - $2,098, 09/29 - $2,098, 09/30 - $2,098, 10/01 - $2,098, 10/02 - $1,888, 10/03 - $1,888, 10/04 - $1,678, 10/05 - $1,678, 10/06 - $1,678, 10/07 - $1,678, 10/08 - $1,678, 10/09 - $1,678, 10/10 - $1,678, 10/11 - $1,678, 10/12 - $1,678, 10/13 - $1,678, 10/14 - $1,678, 10/15 - $1,678, 10/16 - $1,678, 10/17 - $1,678, 10/18 - $1,678, 10/19 - $1,678, "
12月21日 週六,下午2:10。,TPE,下午4:05。,HKG,香港快運航空,直達航班。,Non-stop,1 小時 55 分鐘,No,Airbus A320neo,UO 111,經濟艙,"08/29 - $2,718, 08/30 - $2,718, 08/31 - $2,718, 09/01 - $2,508, 09/02 - $2,508, 09/03 - $2,508, 09/04 - $2,178, 09/05 - $2,178, 09/06 - $2,178, 09/07 - $2,178, 09/08 - $2,178, 09/09 - $2,178, 09/10 - $2,178, 09/11 - $2,178, 09/12 - $2,178, 09/13 - $2,178, 09/14 - $2,178, 09/15 - $2,178, 09/16 - $2,178, 09/17 - $2,178, 09/18 - $2,178, 09/19 - $2,178, 09/20 - $2,178, 09/21 - $2,178, 09/22 - $2,178, 09/23 - $2,178, 09/24 - $2,178, 09/25 - $1,758, 09/26 - $1,758, 09/27 - $1,968, 09/28 - $1,968, 09/29 - $1,968, 09/30 - $1,968, 10/01 - $1,968, 10/02 - $1,758, 10/03 - $1,758, 10/04 - $1,758, 10/05 - $1,758, 10/06 - $1,758, 10/07 - $1,758, 10/08 - $1,758, 10/09 - $1,758, 10/10 - $1,758, 10/11 - $1,758, 10/12 - $1,758, 10/13 - $1,758, 10/14 - $1,758, 10/15 - $1,758, 10/16 - $1,758, 10/17 - $1,758, 10/18 - $1,758, 10/19 - $1,758, "
12月21日 週六,下午2:50。,TPE,下午4:55。,HKG,香港快運航空,直達航班。,Non-stop,2 小時 5 分鐘,No,Airbus A321,UO 113,經濟艙,"08/21 - $2,718, 08/22 - $2,718, 08/23 - $2,718, 08/24 - $2,718, 08/25 - $2,718, 08/26 - $2,718, 08/27 - $2,718, 08/28 - $2,718, 08/29 - $2,718, 08/30 - $2,718, 08/31 - $2,718, 09/01 - $2,508, 09/02 - $2,508, 09/03 - $2,508, 09/04 - $2,178, 09/05 - $2,178, 09/06 - $2,178, 09/07 - $2,178, 09/08 - $2,178, 09/09 - $2,178, 09/10 - $2,178, 09/11 - $2,178, 09/12 - $2,178, 09/13 - $2,178, 09/14 - $2,178, 09/15 - $2,178, 09/16 - $2,178, 09/17 - $2,178, 09/18 - $2,178, 09/19 - $2,178, 09/20 - $2,178, 09/21 - $2,178, 09/22 - $2,178, 09/23 - $1,968, 09/24 - $1,968, 09/25 - $1,758, 09/26 - $1,968, 09/27 - $1,968, 09/28 - $1,968, 09/29 - $1,758, 09/30 - $1,758, 10/01 - $1,758, 10/02 - $1,758, 10/03 - $1,758, 10/04 - $1,758, 10/05 - $1,758, 10/06 - $1,758, 10/07 - $1,758, 10/08 - $1,758, 10/09 - $1,758, 10/10 - $1,758, 10/11 - $1,758, 10/12 - $1,758, 10/13 - $1,758, 10/14 - $1,758, 10/15 - $1,758, 10/16 - $1,758, 10/17 - $1,758, 10/18 - $1,758, 10/19 - $1,758, "
12月21日 週六,上午10:50。,TPE,中午12:50。,HKG,Greater Bay Airlines,直達航班。,Non-stop,未找到飛行時間,No,Boeing 737,HB 703,經濟艙,
12月21日 週六,晚上8:25。,TPE,晚上10:25。,HKG,香港航空,直達航班。,Non-stop,未找到飛行時間,No,Airbus A320,HX 285,經濟艙,"09/22 - $3,093, 09/23 - $3,093, 09/24 - $3,094, 09/25 - $3,095, 09/26 - $3,093, 09/27 - $3,092, 09/28 - $3,090, 09/29 - $3,090, 09/30 - $3,090, 10/01 - $3,085, 10/02 - $3,088, 10/03 - $3,091, 10/04 - $3,092, 10/05 - $3,095, 10/06 - $3,095, 10/07 - $3,095, 10/08 - $3,100, 10/09 - $3,098, 10/10 - $3,098, 10/11 - $3,099, 10/12 - $3,099, 10/13 - $3,099, 10/14 - $3,099, 10/15 - $3,097, 10/16 - $2,799, 10/17 - $2,799, 10/18 - $2,799, 10/19 - $2,798, "
