出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格歷史
12月21日 週六,晚上11:40。,TPE,晚上7:00。,LAX,星宇航空,直達航班。,Non-stop,11 小時 20 分鐘,No,Airbus A350,JX 2,未找到艙等,
12月21日 週六,晚上11:50。,TPE,晚上7:35。,LAX,中華航空,直達航班。,Non-stop,11 小時 45 分鐘,No,Boeing 777,CI 8,經濟艙,"08/21 - $21,255, 08/22 - $21,249, 08/23 - $21,249, 08/24 - $21,255, 08/25 - $21,255, 08/26 - $21,255, 08/27 - $21,237, 08/28 - $21,236, 08/29 - $21,247, 08/30 - $21,253, 08/31 - $21,247, 09/01 - $21,220, 09/02 - $21,220, 09/03 - $21,232, 09/04 - $21,237, 09/05 - $21,241, 09/06 - $20,681, 09/07 - $20,672, 09/08 - $20,464, 09/09 - $20,464, 09/10 - $20,463, 09/11 - $20,463, 09/12 - $20,478, 09/13 - $20,475, 09/14 - $20,472, 09/15 - $20,472, 09/16 - $20,472, 09/17 - $20,453, 09/18 - $20,443, 09/19 - $20,447, 09/20 - $20,455, 09/21 - $20,453, 09/22 - $20,453, 09/23 - $20,453, 09/24 - $20,455, 09/25 - $20,463, 09/26 - $20,451, 09/27 - $17,630, 09/28 - $17,618, 09/29 - $17,618, 09/30 - $22,675, 10/01 - $22,659, 10/02 - $22,756, 10/03 - $21,200, 10/04 - $21,203, 10/05 - $21,219, 10/06 - $22,480, 10/07 - $22,480, 10/08 - $22,509, 10/09 - $19,379, 10/10 - $19,381, 10/11 - $19,383, 10/12 - $19,387, 10/13 - $19,387, 10/14 - $19,387, 10/15 - $19,375, 10/16 - $20,503, 10/17 - $20,503, 10/18 - $19,552, 10/19 - $18,490, "
12月21日 週六,上午11:20。,TPE,清晨6:50。,LAX,長榮航空,直達航班。,Non-stop,11 小時 30 分鐘,No,Boeing 777,BR 6,經濟艙,"08/21 - $22,996, 08/22 - $22,990, 08/23 - $22,933, 08/24 - $22,939, 08/25 - $22,939, 08/26 - $22,939, 08/27 - $22,921, 08/28 - $22,920, 08/29 - $21,427, 08/30 - $21,433, 08/31 - $21,427, 09/01 - $21,426, 09/02 - $21,426, 09/03 - $21,438, 09/04 - $21,443, 09/05 - $21,447, 09/06 - $21,452, 09/07 - $21,443, 09/08 - $21,235, 09/09 - $21,235, 09/10 - $21,234, 09/11 - $21,238, 09/12 - $21,310, 09/13 - $21,307, 09/14 - $21,304, 09/15 - $21,304, 09/16 - $21,304, 09/17 - $21,285, 09/18 - $21,275, 09/19 - $21,279, 09/20 - $21,287, 09/21 - $21,285, 09/22 - $21,285, 09/23 - $21,285, 09/24 - $22,731, 09/25 - $22,739, 09/26 - $22,727, 09/27 - $22,724, 09/28 - $22,712, 09/29 - $22,712, 09/30 - $22,712, 10/01 - $22,696, 10/02 - $22,703, 10/03 - $22,723, 10/04 - $22,726, 10/05 - $22,742, 10/06 - $22,742, 10/07 - $22,742, 10/08 - $22,771, 10/09 - $22,758, 10/10 - $22,760, 10/11 - $22,762, 10/12 - $22,766, 10/13 - $22,766, 10/14 - $22,766, 10/15 - $20,935, 10/16 - $20,939, 10/17 - $20,939, 10/18 - $20,938, 10/19 - $20,935, "
12月21日 週六,晚上7:45。,TSA,"晚上7:00 (星期日, 12月 22)。",XMN,廈門航空,需轉機 1 次的航班。,25 小時 25 分鐘,39 小時 15 分鐘,No,Boeing 737,MF 882,未找到艙等,
12月21日 週六,晚上9:15。,TPE,"上午9:05 (星期日, 12月 22)。",HKG,國泰航空,需轉機 1 次的航班。,未找到停留時間,27 小時 50 分鐘,No,Boeing 777,CX 479,經濟艙,"08/21 - $24,892, 08/22 - $24,878, 08/23 - $24,876, 08/24 - $24,890, 08/25 - $24,890, 08/26 - $24,890, 08/27 - $24,856, 08/28 - $24,855, 08/29 - $24,873, 08/30 - $24,886, 08/31 - $24,874, 09/01 - $23,853, 09/02 - $23,853, 09/03 - $23,872, 09/04 - $23,880, 09/05 - $23,887, 09/06 - $23,896, 09/07 - $23,882, 09/08 - $23,882, 09/09 - $23,882, 09/10 - $25,110, 09/11 - $19,919, 09/12 - $17,985, 09/13 - $22,529, 09/14 - $22,527, 09/15 - $22,527, 09/16 - $22,527, 09/17 - $17,941, 09/18 - $17,924, 09/19 - $17,932, 09/20 - $17,946, 09/21 - $17,943, 09/22 - $17,943, 09/23 - $17,943, 09/24 - $17,949, 09/25 - $17,961, 09/26 - $17,941, 09/27 - $17,935, 09/28 - $17,915, 09/29 - $17,915, 09/30 - $17,915, 10/01 - $17,881, 10/02 - $17,897, 10/03 - $17,931, 10/04 - $17,939, 10/05 - $17,967, 10/06 - $17,967, 10/07 - $17,967, 10/08 - $18,019, 10/09 - $17,996, 10/10 - $17,999, 10/11 - $18,004, 10/12 - $18,009, 10/13 - $18,009, 10/14 - $18,009, 10/15 - $17,989, 10/16 - $17,996, 10/17 - $17,997, 10/18 - $17,995, 10/19 - $17,987, "
12月21日 週六,上午10:45。,TPE,上午10:00。,SEA,達美航空,需轉機 1 次的航班。,1 小時 5 分鐘,15 小時 15 分鐘,No,Airbus A330-900neo,DL 68,經濟艙,"08/21 - $32,459, 08/22 - $32,453, 08/23 - $32,453, 08/24 - $32,459, 08/25 - $32,459, 08/26 - $32,459, 08/27 - $37,643, 08/28 - $37,643, 08/29 - $37,652, 08/30 - $37,656, 08/31 - $37,652, 09/01 - $37,652, 09/02 - $37,652, 09/03 - $37,662, 09/04 - $37,666, 09/05 - $37,669, 09/06 - $37,673, 09/07 - $37,666, 09/08 - $37,666, 09/09 - $37,666, 09/10 - $37,665, 09/11 - $37,460, 09/12 - $37,470, 09/13 - $37,467, 09/14 - $37,464, 09/15 - $37,464, 09/16 - $37,464, 09/17 - $37,448, 09/18 - $37,441, 09/19 - $37,444, 09/20 - $37,451, 09/21 - $37,448, 09/22 - $37,448, 09/23 - $37,448, 09/24 - $37,451, 09/25 - $37,457, 09/26 - $37,447, 09/27 - $37,445, 09/28 - $37,435, 09/29 - $37,435, 09/30 - $32,235, 10/01 - $32,222, 10/02 - $37,428, 10/03 - $37,445, 10/04 - $32,247, 10/05 - $32,260, 10/06 - $32,260, 10/07 - $32,260, 10/08 - $32,284, 10/09 - $32,274, 10/10 - $32,275, 10/11 - $24,463, 10/12 - $24,466, 10/13 - $24,466, 10/14 - $24,466, 10/15 - $24,457, 10/16 - $29,024, 10/17 - $29,024, 10/18 - $24,459, 10/19 - $24,456, "
12月21日 週六,下午4:50。,TSA,下午5:50。,HND,全日空航空,需轉機 1 次的航班。,4 小時 10 分鐘,未找到飛行時間,No,Boeing 787,NH 854,經濟艙,"08/21 - $30,790, 08/22 - $30,786, 08/23 - $30,787, 08/24 - $30,792, 08/25 - $30,792, 08/26 - $30,792, 08/27 - $30,778, 08/28 - $31,001, 08/29 - $31,012, 08/30 - $31,017, 08/31 - $31,011, 09/01 - $31,011, 09/02 - $27,561, 09/03 - $27,570, 09/04 - $27,574, 09/05 - $27,579, 09/06 - $27,586, 09/07 - $23,081, 09/08 - $27,581, 09/09 - $27,581, 09/10 - $31,033, 09/11 - $31,035, 09/12 - $30,839, 09/13 - $27,389, 09/14 - $27,382, 09/15 - $27,382, 09/16 - $30,832, 09/17 - $30,817, 09/18 - $27,360, 09/19 - $30,812, 09/20 - $27,367, 09/21 - $27,362, 09/22 - $22,862, 09/23 - $20,047, 09/24 - $21,717, 09/25 - $21,726, 09/26 - $21,714, 09/27 - $21,711, 09/28 - $21,697, 09/29 - $21,697, 09/30 - $21,697, 10/01 - $21,687, 10/02 - $21,692, 10/03 - $21,711, 10/04 - $20,876, 10/05 - $20,887, 10/06 - $20,887, 10/07 - $20,887, 10/08 - $20,913, 10/09 - $20,901, 10/10 - $20,902, 10/11 - $20,903, 10/12 - $20,906, 10/13 - $20,906, 10/14 - $20,906, 10/15 - $20,895, 10/16 - $20,898, 10/17 - $20,898, 10/18 - $20,897, 10/19 - $20,894, "
12月21日 週六,晚上11:55。,TPE,晚上7:25。,LAX,長榮航空,直達航班。,Non-stop,11 小時 30 分鐘,No,Boeing 777,BR 16,未找到艙等,
12月21日 週六,晚上7:40。,TPE,下午3:10。,LAX,長榮航空,直達航班。,Non-stop,11 小時 30 分鐘,No,Boeing 777,BR 12,未找到艙等,"08/21 - $24,635, 08/22 - $24,629, 08/23 - $24,567, 08/24 - $24,573, 08/25 - $24,573, 08/26 - $24,573, 08/27 - $24,555, 08/28 - $24,554, 08/29 - $24,555, 08/30 - $24,561, 08/31 - $24,555, 09/01 - $24,555, 09/02 - $24,555, 09/03 - $24,567, 09/04 - $24,572, 09/05 - $24,576, 09/06 - $24,581, 09/07 - $24,572, 09/08 - $24,364, 09/09 - $24,364, 09/10 - $24,363, 09/11 - $24,367, 09/12 - $24,449, 09/13 - $24,446, 09/14 - $24,443, 09/15 - $24,443, 09/16 - $24,443, 09/17 - $24,424, 09/18 - $24,414, 09/19 - $27,319, 09/20 - $24,426, 09/21 - $27,325, 09/22 - $27,325, 09/23 - $27,325, 09/24 - $27,257, 09/25 - $27,265, 09/26 - $27,253, 09/27 - $24,419, 09/28 - $27,238, 09/29 - $27,238, 09/30 - $24,346, 10/01 - $24,330, 10/02 - $24,337, 10/03 - $24,357, 10/04 - $24,360, 10/05 - $24,360, 10/06 - $24,376, 10/07 - $24,376, 10/08 - $24,405, 10/09 - $24,392, 10/10 - $24,394, 10/11 - $24,396, 10/12 - $24,400, 10/13 - $24,400, 10/14 - $24,400, 10/15 - $22,410, 10/16 - $22,414, 10/17 - $22,414, 10/18 - $22,413, 10/19 - $20,938, "
