出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格歷史
12月20日 週五,下午4:55。,TPE,中午12:30。,LAX,中華航空,直達航班。,Non-stop,11 小時 35 分鐘,No,Airbus A350,CI 6,經濟艙,"08/22 - $21,249, 08/23 - $21,249, 08/24 - $21,255, 08/25 - $21,255, 08/26 - $21,255, 08/27 - $21,237, 08/28 - $21,236, 08/29 - $21,247, 08/30 - $21,253, 08/31 - $21,247, 09/01 - $21,220, 09/02 - $21,220, 09/03 - $21,232, 09/04 - $21,237, 09/05 - $21,241, 09/06 - $20,681, 09/07 - $20,672, 09/08 - $20,464, 09/09 - $20,464, 09/10 - $20,463, 09/11 - $20,467, 09/12 - $20,478, 09/13 - $20,475, 09/14 - $20,472, 09/15 - $20,472, 09/16 - $20,472, 09/17 - $20,453, 09/18 - $20,443, 09/19 - $20,447, 09/20 - $20,455, 09/21 - $20,453, 09/22 - $20,453, 09/23 - $20,453, 09/24 - $20,455, 09/25 - $20,463, 09/26 - $20,451, 09/27 - $24,318, 09/28 - $24,306, 09/29 - $24,306, 09/30 - $24,306, 10/01 - $24,290, 10/02 - $24,395, 10/03 - $22,461, 10/04 - $22,464, 10/05 - $22,480, 10/06 - $22,480, 10/07 - $22,480, 10/08 - $22,509, 10/09 - $20,503, 10/10 - $20,505, 10/11 - $20,507, 10/12 - $20,511, 10/13 - $20,511, 10/14 - $20,511, 10/15 - $20,499, 10/16 - $20,503, 10/17 - $20,503, 10/18 - $19,552, 10/19 - $19,549, 10/20 - $19,549, "
12月20日 週五,晚上11:40。,TPE,晚上7:00。,LAX,星宇航空,直達航班。,Non-stop,11 小時 20 分鐘,No,Airbus A350,JX 2,經濟艙,"08/22 - $20,509, 08/23 - $20,509, 08/24 - $20,514, 08/25 - $20,514, 08/26 - $20,514, 08/27 - $20,499, 08/28 - $20,499, 08/29 - $20,508, 08/30 - $20,512, 08/31 - $20,508, 09/01 - $20,508, 09/02 - $20,508, 09/03 - $20,517, 09/04 - $20,521, 09/05 - $20,524, 09/06 - $20,528, 09/07 - $20,521, 09/08 - $20,313, 09/09 - $19,415, 09/10 - $19,414, 09/11 - $19,417, 09/12 - $19,426, 09/13 - $21,878, 09/14 - $21,875, 09/15 - $21,875, 09/16 - $21,875, 09/17 - $21,860, 09/18 - $21,853, 09/19 - $21,856, 09/20 - $21,862, 09/21 - $21,860, 09/22 - $21,860, 09/23 - $21,860, 09/24 - $21,862, 09/25 - $21,868, 09/26 - $21,859, 09/27 - $21,857, 09/28 - $21,847, 09/29 - $21,847, 09/30 - $21,847, 10/01 - $21,836, 10/02 - $21,841, 10/03 - $21,857, 10/04 - $21,859, 10/05 - $21,871, 10/06 - $21,871, 10/07 - $21,871, 10/08 - $21,894, 10/09 - $21,884, 10/10 - $21,885, 10/11 - $21,887, 10/12 - $21,890, 10/13 - $21,890, 10/14 - $21,890, 10/15 - $19,832, 10/16 - $19,835, 10/17 - $18,450, 10/18 - $19,834, 10/19 - $18,447, 10/20 - $18,447, "
12月20日 週五,上午11:20。,TPE,清晨6:50。,LAX,長榮航空,直達航班。,Non-stop,11 小時 30 分鐘,No,Boeing 777,BR 6,經濟艙,"08/22 - $22,933, 08/23 - $22,933, 08/24 - $22,939, 08/25 - $22,939, 08/26 - $22,939, 08/27 - $22,921, 08/28 - $22,920, 08/29 - $21,427, 08/30 - $21,433, 08/31 - $24,555, 09/01 - $24,555, 09/02 - $24,555, 09/03 - $24,567, 09/04 - $24,572, 09/05 - $24,576, 09/06 - $24,581, 09/07 - $24,572, 09/08 - $24,364, 09/09 - $24,364, 09/10 - $24,363, 09/11 - $24,367, 09/12 - $21,310, 09/13 - $21,307, 09/14 - $24,443, 09/15 - $24,443, 09/16 - $24,443, 09/17 - $24,424, 09/18 - $24,414, 09/19 - $24,418, 09/20 - $24,426, 09/21 - $24,424, 09/22 - $24,424, 09/23 - $24,424, 09/24 - $24,365, 09/25 - $24,373, 09/26 - $24,361, 09/27 - $24,358, 09/28 - $24,346, 09/29 - $24,346, 09/30 - $22,712, 10/01 - $22,696, 10/02 - $22,703, 10/03 - $22,723, 10/04 - $22,726, 10/05 - $22,742, 10/06 - $24,376, 10/07 - $24,376, 10/08 - $22,771, 10/09 - $22,758, 10/10 - $22,760, 10/11 - $22,762, 10/12 - $22,766, 10/13 - $22,766, 10/14 - $22,766, 10/15 - $20,935, 10/16 - $20,939, 10/17 - $20,939, 10/18 - $20,938, 10/19 - $20,935, 10/20 - $20,935, "
12月20日 週五,上午8:20。,TPE,上午9:05。,HKG,國泰航空,需轉機 1 次的航班。,1 小時 55 分鐘,16 小時 45 分鐘,No,Boeing 777,CX 407,經濟艙,"08/22 - $21,786, 08/23 - $21,784, 08/24 - $21,797, 08/25 - $21,797, 08/26 - $21,797, 08/27 - $21,765, 08/28 - $21,764, 08/29 - $21,782, 08/30 - $21,794, 08/31 - $21,782, 09/01 - $20,761, 09/02 - $20,761, 09/03 - $20,779, 09/04 - $20,779, 09/05 - $20,793, 09/06 - $20,801, 09/07 - $20,788, 09/08 - $20,788, 09/09 - $20,788, 09/10 - $22,016, 09/11 - $19,424, 09/12 - $17,489, 09/13 - $17,484, 09/14 - $17,482, 09/15 - $17,482, 09/16 - $17,482, 09/17 - $17,449, 09/18 - $17,433, 09/19 - $17,440, 09/20 - $17,453, 09/21 - $17,450, 09/22 - $17,450, 09/23 - $17,450, 09/24 - $17,456, 09/25 - $17,467, 09/26 - $17,448, 09/27 - $17,443, 09/28 - $17,424, 09/29 - $17,424, 09/30 - $17,424, 10/01 - $17,393, 10/02 - $17,407, 10/03 - $17,439, 10/04 - $17,446, 10/05 - $17,471, 10/06 - $17,471, 10/07 - $17,471, 10/08 - $17,519, 10/09 - $17,498, 10/10 - $17,501, 10/11 - $17,506, 10/12 - $17,510, 10/13 - $17,510, 10/14 - $17,510, 10/15 - $17,492, 10/16 - $17,498, 10/17 - $17,499, 10/18 - $17,497, 10/19 - $17,490, 10/20 - $17,490, "
12月20日 週五,上午11:10。,TPE,上午10:08。,SFO,聯合航空,需轉機 1 次的航班。,未找到停留時間,14 小時 58 分鐘,No,Boeing 777,UA 872,經濟艙,"08/22 - $20,324, 08/23 - $20,324, 08/24 - $20,330, 08/25 - $20,330, 08/26 - $20,330, 08/27 - $20,314, 08/28 - $20,314, 08/29 - $20,323, 08/30 - $20,327, 08/31 - $20,323, 09/01 - $20,323, 09/02 - $20,323, 09/03 - $20,333, 09/04 - $20,337, 09/05 - $20,340, 09/06 - $20,344, 09/07 - $20,337, 09/08 - $20,337, 09/09 - $20,337, 09/10 - $20,336, 09/11 - $19,670, 09/12 - $19,471, 09/13 - $19,468, 09/14 - $19,465, 09/15 - $19,465, 09/16 - $19,465, 09/17 - $19,449, 09/18 - $19,442, 09/19 - $19,445, 09/20 - $19,452, 09/21 - $19,449, 09/22 - $19,449, 09/23 - $19,449, 09/24 - $20,122, 09/25 - $20,128, 09/26 - $20,118, 09/27 - $20,116, 09/28 - $20,106, 09/29 - $20,106, 09/30 - $20,106, 10/01 - $20,093, 10/02 - $20,099, 10/03 - $20,116, 10/04 - $20,118, 10/05 - $19,296, 10/06 - $19,296, 10/07 - $19,296, 10/08 - $19,320, 10/09 - $19,310, 10/10 - $19,311, 10/11 - $19,313, 10/12 - $19,316, 10/13 - $19,316, 10/14 - $19,316, 10/15 - $19,307, 10/16 - $19,310, 10/17 - $19,310, 10/18 - $19,309, 10/19 - $19,306, 10/20 - $19,306, "
12月20日 週五,上午11:10。,TPE,中午12:33。,SFO,聯合航空,需轉機 1 次的航班。,4 小時 25 分鐘,17 小時 23 分鐘,No,Boeing 777,UA 872,經濟艙,"08/22 - $20,324, 08/23 - $20,324, 08/24 - $20,330, 08/25 - $20,330, 08/26 - $20,330, 08/27 - $20,314, 08/28 - $20,314, 08/29 - $20,323, 08/30 - $20,327, 08/31 - $20,323, 09/01 - $20,323, 09/02 - $20,323, 09/03 - $20,333, 09/04 - $20,337, 09/05 - $20,340, 09/06 - $20,344, 09/07 - $20,337, 09/08 - $20,337, 09/09 - $20,337, 09/10 - $20,336, 09/11 - $19,670, 09/12 - $19,471, 09/13 - $19,468, 09/14 - $19,465, 09/15 - $19,465, 09/16 - $19,465, 09/17 - $19,449, 09/18 - $19,442, 09/19 - $19,445, 09/20 - $19,452, 09/21 - $19,449, 09/22 - $19,449, 09/23 - $19,449, 09/24 - $20,122, 09/25 - $20,128, 09/26 - $20,118, 09/27 - $20,116, 09/28 - $20,106, 09/29 - $20,106, 09/30 - $20,106, 10/01 - $20,093, 10/02 - $20,099, 10/03 - $20,116, 10/04 - $19,283, 10/05 - $19,296, 10/06 - $19,296, 10/07 - $19,296, 10/08 - $19,320, 10/09 - $19,310, 10/10 - $19,311, 10/11 - $19,313, 10/12 - $19,316, 10/13 - $19,316, 10/14 - $19,316, 10/15 - $19,307, 10/16 - $19,310, 10/17 - $19,310, 10/18 - $19,309, 10/19 - $19,306, 10/20 - $19,306, "
12月20日 週五,上午11:10。,TPE,下午2:46。,SFO,聯合航空,需轉機 1 次的航班。,6 小時 40 分鐘,19 小時 36 分鐘,No,Boeing 777,UA 872,經濟艙,"08/22 - $20,324, 08/23 - $20,324, 08/24 - $20,330, 08/25 - $20,330, 08/26 - $20,330, 08/27 - $20,314, 08/28 - $20,314, 08/29 - $20,323, 08/30 - $20,327, 08/31 - $20,323, 09/01 - $20,323, 09/02 - $20,323, 09/03 - $20,333, 09/04 - $20,337, 09/05 - $20,340, 09/06 - $20,344, 09/07 - $20,337, 09/08 - $20,337, 09/09 - $20,337, 09/10 - $20,336, 09/11 - $19,670, 09/12 - $19,471, 09/13 - $19,468, 09/14 - $19,465, 09/15 - $19,465, 09/16 - $19,465, 09/17 - $19,449, 09/18 - $19,442, 09/19 - $19,445, 09/20 - $19,452, 09/21 - $19,449, 09/22 - $19,449, 09/23 - $19,449, 09/24 - $20,119, 09/25 - $20,128, 09/26 - $20,118, 09/27 - $20,116, 09/28 - $20,106, 09/29 - $20,106, 09/30 - $20,106, 10/01 - $20,093, 10/02 - $20,099, 10/03 - $20,116, 10/04 - $20,118, 10/05 - $19,296, 10/06 - $19,296, 10/07 - $19,296, 10/08 - $19,320, 10/09 - $19,310, 10/10 - $19,311, 10/11 - $19,313, 10/12 - $19,316, 10/13 - $19,316, 10/14 - $19,316, 10/15 - $19,307, 10/16 - $19,310, 10/17 - $19,310, 10/18 - $19,309, 10/19 - $19,306, 10/20 - $19,306, "
12月20日 週五,上午11:10。,TPE,下午3:34。,SFO,聯合航空,需轉機 1 次的航班。,7 小時 28 分鐘,20 小時 24 分鐘,No,Boeing 777,UA 872,經濟艙,"08/22 - $20,324, 08/23 - $20,324, 08/24 - $20,330, 08/25 - $20,330, 08/26 - $20,330, 08/27 - $20,314, 08/28 - $20,314, 08/29 - $20,323, 08/30 - $20,327, 08/31 - $20,323, 09/01 - $20,323, 09/02 - $20,323, 09/03 - $20,333, 09/04 - $20,337, 09/05 - $20,340, 09/06 - $20,344, 09/07 - $20,337, 09/08 - $20,337, 09/09 - $20,337, 09/10 - $20,336, 09/11 - $19,670, 09/12 - $19,471, 09/13 - $19,468, 09/14 - $19,465, 09/15 - $19,465, 09/16 - $19,465, 09/17 - $19,449, 09/18 - $19,442, 09/19 - $19,445, 09/20 - $19,452, 09/21 - $19,449, 09/22 - $19,449, 09/23 - $19,449, 09/24 - $20,122, 09/25 - $20,128, 09/26 - $20,118, 09/27 - $20,116, 09/28 - $20,106, 09/29 - $20,106, 09/30 - $20,106, 10/01 - $20,093, 10/02 - $20,099, 10/03 - $20,116, 10/04 - $20,118, 10/05 - $19,296, 10/06 - $19,296, 10/07 - $19,296, 10/08 - $19,320, 10/09 - $19,310, 10/10 - $19,311, 10/11 - $19,313, 10/12 - $19,316, 10/13 - $19,316, 10/14 - $19,316, 10/15 - $19,307, 10/16 - $19,310, 10/17 - $19,310, 10/18 - $19,309, 10/19 - $19,306, 10/20 - $19,306, "
12月20日 週五,上午11:10。,TPE,下午6:06。,SFO,聯合航空,需轉機 1 次的航班。,未找到停留時間,22 小時 56 分鐘,No,Boeing 777,UA 872,經濟艙,"08/22 - $20,324, 08/23 - $20,324, 08/24 - $20,330, 08/25 - $20,330, 08/26 - $20,330, 08/27 - $20,314, 08/28 - $20,314, 08/29 - $20,323, 08/30 - $20,327, 08/31 - $20,323, 09/01 - $20,323, 09/02 - $20,323, 09/03 - $20,333, 09/04 - $20,337, 09/05 - $20,340, 09/06 - $20,344, 09/07 - $20,337, 09/08 - $20,337, 09/09 - $20,337, 09/10 - $20,336, 09/11 - $19,670, 09/12 - $19,471, 09/13 - $19,468, 09/14 - $19,465, 09/15 - $19,465, 09/16 - $19,465, 09/17 - $19,449, 09/18 - $19,442, 09/19 - $19,442, 09/20 - $19,452, 09/21 - $19,449, 09/22 - $19,449, 09/23 - $19,449, 09/24 - $20,122, 09/25 - $20,128, 09/26 - $20,118, 09/27 - $20,116, 09/28 - $20,106, 09/29 - $20,106, 09/30 - $20,106, 10/01 - $20,093, 10/02 - $20,099, 10/03 - $20,116, 10/04 - $20,118, 10/05 - $19,296, 10/06 - $19,296, 10/07 - $19,296, 10/08 - $19,320, 10/09 - $19,310, 10/10 - $19,311, 10/11 - $19,313, 10/12 - $19,316, 10/13 - $19,316, 10/14 - $19,316, 10/15 - $19,307, 10/16 - $19,310, 10/17 - $19,310, 10/18 - $19,309, 10/19 - $19,306, 10/20 - $19,306, "
12月20日 週五,上午11:10。,TPE,晚上7:57。,SFO,聯合航空,需轉機 1 次的航班。,11 小時 51 分鐘,24 小時 47 分鐘,No,Boeing 777,UA 872,經濟艙,"08/22 - $20,324, 08/23 - $20,324, 08/24 - $20,330, 08/25 - $20,330, 08/26 - $20,330, 08/27 - $20,314, 08/28 - $20,314, 08/29 - $20,323, 08/30 - $20,327, 08/31 - $20,323, 09/01 - $20,323, 09/02 - $20,323, 09/03 - $20,333, 09/04 - $20,337, 09/05 - $20,340, 09/06 - $20,344, 09/07 - $20,337, 09/08 - $20,337, 09/09 - $20,337, 09/10 - $20,336, 09/11 - $19,670, 09/12 - $19,471, 09/13 - $19,468, 09/14 - $19,465, 09/15 - $19,465, 09/16 - $19,465, 09/17 - $19,449, 09/18 - $19,442, 09/19 - $19,445, 09/20 - $19,452, 09/21 - $19,449, 09/22 - $19,449, 09/23 - $19,449, 09/24 - $20,122, 09/25 - $20,128, 09/26 - $20,118, 09/27 - $20,116, 09/28 - $20,106, 09/29 - $20,106, 09/30 - $20,106, 10/01 - $20,093, 10/02 - $20,099, 10/03 - $20,116, 10/04 - $19,283, 10/05 - $19,296, 10/06 - $19,296, 10/07 - $19,296, 10/08 - $19,320, 10/09 - $19,310, 10/10 - $19,311, 10/11 - $19,313, 10/12 - $19,316, 10/13 - $19,316, 10/14 - $19,316, 10/15 - $19,307, 10/16 - $19,310, 10/17 - $19,310, 10/18 - $19,309, 10/19 - $19,306, 10/20 - $19,306, "
